trial1,1,1,0.0863,0.4863,0.4000,0.0998,0.3161,0.2163,0.1148,0.3227,0.2078,0.1186,0.3891,0.2705,0.3024,0.5856,0.2832,0.1223,0.3032,0.1809,0.1156,0.2550,0.1394,0.1689,0.3146,0.1457,0.0875,0.2215,0.1340,0.1148,0.3040,0.1892
trial1,1,1,0.0023,0.3286,0.3263,0.0326,0.2307,0.1981,0.0478,0.2449,0.1971,0.0287,0.3050,0.2763,0.1606,0.4270,0.2664,-0.0238,0.1565,0.1802,0.0432,0.1874,0.1441,0.0783,0.2269,0.1485,0.0010,0.1433,0.1423,0.0506,0.2394,0.1888
trial1,1,1,-0.0264,0.2541,0.2805,0.0209,0.2177,0.1968,0.0333,0.2295,0.1962,-0.0026,0.2701,0.2726,0.1434,0.4009,0.2575,-0.0696,0.1175,0.1871,0.0326,0.2029,0.1703,0.0521,0.2098,0.1576,-0.0070,0.1411,0.1481,0.0355,0.2370,0.2015
trial1,1,1,-0.0164,0.2667,0.2830,0.0201,0.2211,0.2010,0.0279,0.2211,0.1931,-0.0197,0.2476,0.2673,0.1370,0.4059,0.2690,-0.0818,0.1010,0.1828,0.0190,0.1890,0.1700,0.0353,0.1902,0.1549,-0.0126,0.1381,0.1507,0.0261,0.2259,0.1998
trial1,1,1,-0.0044,0.2861,0.2904,0.0247,0.2472,0.2225,0.0286,0.2250,0.1964,-0.0166,0.2567,0.2733,0.1224,0.3896,0.2673,-0.0866,0.0922,0.1788,0.1267,0.4736,0.3469,0.0279,0.1818,0.1539,-0.0194,0.1237,0.1430,0.0205,0.2187,0.1982
trial1,1,1,-0.0149,0.2615,0.2764,0.0120,0.2239,0.2119,0.0309,0.2258,0.1950,-0.0128,0.2792,0.2920,0.1082,0.3709,0.2627,-0.0865,0.0853,0.1718,0.0782,0.4065,0.3282,0.0256,0.1820,0.1564,0.0459,0.2851,0.2392,0.0217,0.2243,0.2026
trial1,1,1,-0.0014,0.2853,0.2867,0.0045,0.2113,0.2068,0.0268,0.2206,0.1938,-0.0192,0.2674,0.2866,0.1021,0.3607,0.2586,-0.0856,0.0831,0.1686,0.0375,0.3388,0.3013,0.0271,0.1841,0.1571,0.0114,0.2364,0.2251,0.0183,0.2197,0.2013
trial1,1,1,0.0009,0.2917,0.2908,0.0030,0.2067,0.2037,0.0250,0.2190,0.1941,-0.0156,0.2769,0.2925,0.0981,0.3542,0.2561,-0.0857,0.0804,0.1660,0.0199,0.3115,0.2916,0.0223,0.1754,0.1531,-0.0036,0.2134,0.2170,0.0173,0.2207,0.2034
trial1,1,1,0.0222,0.3412,0.3190,0.0060,0.2127,0.2068,0.0248,0.2188,0.1940,0.0257,0.3691,0.3434,0.0973,0.3574,0.2601,-0.0849,0.0820,0.1668,0.0035,0.2810,0.2774,0.0195,0.1694,0.1499,-0.0137,0.1965,0.2102,0.0158,0.2193,0.2036
trial1,1,1,0.0132,0.3259,0.3127,0.0012,0.2038,0.2026,0.0271,0.2245,0.1974,0.0150,0.3555,0.3405,0.0920,0.3511,0.2590,-0.0842,0.0788,0.1630,-0.0064,0.2591,0.2655,0.0205,0.1704,0.1499,-0.0228,0.1821,0.2049,0.0151,0.2197,0.2046
